verbatimScientificName,verbatimElement
Elops saurus,vertebra
Ariidae,neurocranium
Arridae,vertebra
Arridae,dorsal spine
Arridae,small cleithra
Arridae,post temporal
Carangidae,pneumatics
Archosargus sp.,dentary
Archosargus sp.,dentary
Archosargus sp.,premaxilla
Archosargus sp.,hyomandibular
Archosargus sp.,maxilla
Cynoscion sp.,quadrate
Cynoscion sp.,vertebrae
Micropogon undulatus,otolith
Micropogon undulatus,otolith
Micropogon undulatus,premaxilla
Micropogon undulatus,hyomandibular
Micropogon undulatus,maxilla
Micropogon undulatus,operculum
Micropogon undulatus,atlas
Micropogon undulatus,articulars
Micropogon undulatus,premaxilla
Pogonias cromis,grinder
Sciaenops ocellata,otolith
Mugil sp.,hyomandibular
Mugil sp.,hyomandibular
Mugil sp.,operculum
Mugil sp.,operculum
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Trichiurus sp.,hyomandibulars
Trichiurus sp.,quadrates
Trichiurus sp.,articulars
Trichiurus sp.,dentary
Trichiurus sp.,dentary
Trichiurus sp.,premaxilla
Trichiurus sp.,premaxilla
Trichiurus sp.,neurocranium
Trichiurus sp.,dentary/premaxilla
Trichiurus sp.,teeth
Trichiurus sp.,atlas
Paralichthys sp.,vertebrae
Paralichthys sp.,vertebrae
Paralichthys sp.,cervical vertebrae
Paralichthys sp.,maxillary
Paralichthys sp.,maxillary
Paralichthys sp.,premaxilla
Paralichthys sp.,premax/dentary
Paralichthys sp.,quadrate
Paralichthys sp.,dentary
Dasyatidae,vertebra
Unidentified,
Unidentified,
Crassostrea,valve
Crassostrea,valve
Crassostrea,
Crassostrea,
Crassostrea,
Crassostrea,
Mercenaria spp.,valve
Mercenaria spp.,valve
Mercenaria spp.,
Mercenaria spp.,
Tagelus plebius,valve
Tagelus plebius,valve
Tagelus plebius,
Tagelus plebius,
Geukeusia demissa,valve
Ilyanassa sp.,shells
Emydidae,
Emydidae,
Unidentified fish,
Ariidae,neurocranium
Ariidae,vertebra
Caranx sp.,dentary
Mugil sp.,vertebra
Mugil sp.,?atlas
Trichiurus sp.,articular
Trichiurus sp.,dentary/premaxilla
Paralichthys sp.,vertebrae
Unidentified,
Unidentified fish,
Unidentified fish,
Caranx sp.,operculum
Mugil sp.,vertebrae
Mammal,metatarsals/metacarpals
Mammal,
