,Baptizing Spring for migration: 6-23-2017,,,,,,,,,,,,,,,,,,,,,,,,
,"Species Cards: Verbatim (Highlighted cells indicate verbatim entry, including spellings.)",,,,,,,,,,,,,,,,,,,,,,,,
Initial Sort Order,Site #,Acc. #,F.S.#,Trench,Unit,Zone,Feature,Area,Provenience Other,UF Number,Verbatim Species,Clean Species,Verbatim Element,Clean Element,Verbatim Portion,Clean Portion,Side,Alteration,Age,NISP,Weight (g) per provenience per taxon,Weight (g) per Specimen(s),MNI,Measurements,Notes
32,8SU65,221,155,,464N 567E,II,,,,2210171,Odocoileus virginianus,Odocoileus virginianus,humerus,humerus,distal frag,,R,,,1,2.69,2.69,,,
33,8SU65,221,155,,464N 567E,II,,,,2210172,Testudines,Testudines,shell,shell,fragment,fragment,,,,1,0.84,0.84,,,
34,8SU65,221,155,,464N 567E,II,,,,2210173,Mammalia,Mammalia,,,fragment,fragment,,calcined,,1,0.36,0.36,,,
35,8SU65,221,155,,464N 567E,II,,,,2210174,Unidentified Bone,Unidentified Bone,,,fragments,fragment,,,,4,2.21,2.21,,,
36,8SU65,221,158,,464N 565E,IA,,,,2210175,Artiodactyla,Artiodactyla,tooth,tooth,fragment,fragment,,,,1,0.66,0.66,,,
37,8SU65,221,158,,464N 565E,IA,,,,2210176,Testudines,Testudines,shell,shell,fragments,fragment,,calcined,,3,0.65,0.65,,,
38,8SU65,221,158,,464N 565E,IA,,,,2210177,Mammalia,Mammalia,longbone,longbone,shaft frag,shaft fragment,,burnt,,1,0.58,0.58,,,
39,8SU65,221,158,,464N 565E,IA,,,,2210178,Miscellaneous Unidentified Bone,Unidentified Bone,,,fragments,fragment,,,,4,2.65,2.65,,,
40,8SU65,221,161,,464N 565E,IB,,,,2210179,Unidentified Bone,Unidentified Bone,,,fragments,fragment,,,,2,1.65,1.65,,,
41,8SU65,221,168,,464N 563E,I,,,,2210180,cf. Alligator mississippiensis,cf. Alligator mississippiensis,"""scute""",scute,fragment,fragment,,,,1,0.97,0.97,,,
42,8SU65,221,172,,464N 563E,IB,,,,2210181,Odocoileus virginianus,Odocoileus virginianus,metacarpal,metacarpal,proximal,proximal,L,,,1,8,,,,
43,8SU65,221,172,,464N 563E,IB,,,,2210181,Odocoileus virginianus,Odocoileus virginianus,metacarpal,metacarpal,shaft frag,shaft fragment,,,,1,8,,,,
44,8SU65,221,172,,464N 563E,IB,,,,2210182,Testudines,Testudines,shell,shell,fragment,fragment,,calcined,,1,0.21,0.21,,,
45,8SU65,221,172,,464N 563E,IB,,,,2210183,Vertebrata,Vertebrata,,,fragments,fragment,,2 calcined,,24,1.98,1.98,,,
46,8SU65,221,183,,461N 569E,IB,,,,2210184,Squaliformes (shark),Squaliformes (shark),tooth,tooth,,,,,,1,0.05,0.05,,,
47,8SU65,221,183,,461N 569E,IB,,,,2210185,Testudines,Testudines,shell,shell,fragment,fragment,,calcined,,1,0.12,0.12,,,
48,8SU65,221,183,,461N 569E,IB,,,,2210186,Vertebrata,Vertebrata,,,fragments,fragment,,3 calcined,,5,0.98,0.98,,,
49,8SU65,221,186,,461N 569E,II,,,,2210187,Medium-LargeMammalia,"Mammalia, medium-large",,,shaft fragment,shaft fragment,,,,1,,,,,no weight recorded
50,8SU65,221,189,,467N 565E,IA + IB,,,,2210188,Gopherus polyphemus,Gopherus polyphemus,nuchal,nuchal,,,,,,1,23.38,,,,
51,8SU65,221,189,,467N 565E,IA + IB,,,,2210188,Gopherus polyphemus,Gopherus polyphemus,marginal,marginal,,,,,,1,23.38,,,,
52,8SU65,221,189,,467N 565E,IA + IB,,,,2210188,Gopherus polyphemus,Gopherus polyphemus,shell,shell,fragment,fragment,,,,1,23.38,,,,
53,8SU65,221,189,,467N 565E,IA + IB,,,,2210189,Testudines,Testudines,neural,neural,,,,,,1,8.98,,,,
54,8SU65,221,189,,467N 565E,IA + IB,,,,2210189,Testudines,Testudines,shell,shell,fragments,fragment,,4 calcined,,10,8.98,,,,
55,8SU65,221,189,,467N 565E,IA + IB,,,,2210189,Testudines,Testudines,marginal,marginal,,,,calcined,,1,8.98,,,,
56,8SU65,221,189,,467N 565E,IA + IB,,,,2210190,Artiodactyla,Artiodactyla,tooth,tooth,fragments,fragment,,,,2,0.95,,,,
57,8SU65,221,189,,467N 565E,IA + IB,,,,2210190,Artiodactyla,Artiodactyla,metatarsal,metatarsal,distal end,distal end,L,,,1,0.95,,,,
58,8SU65,221,189,,467N 565E,IA + IB,,,,2210191,Mammalia,Mammalia,,,shaft frag,shaft fragment,,burnt,,1,0.95,0.95,,,
59,8SU65,221,189,,467N 565E,IA + IB,,,,2210192,Vertebrata,Vertebrata,,,fragments,fragment,,"1 calcined, 1 burnt",,10,4.1,4.1,,,
60,8SU65,221,179,,461N 565E,IB,,,,2210193,Gopherus polyphemus,Gopherus polyphemus,costal (?),costal (?),fragments,fragment,,all worked,,4,6.5,6.5,,,verbatim element description
61,8SU65,221,179,,461N 565E,IB,,,,2210194,Testudines,Testudines,shell,shell,fragments,fragment,,1 burnt,,3,6.99,6.99,,,
62,8SU65,221,179,,461N 565E,IB,,,,2210195,Mammalia,Mammalia,,,fragments,fragment,,,,2,2.19,2.19,,,
63,8SU65,221,179,,461N 565E,IB,,,,2210196,Vertebrata,Vertebrata,,,fragments,fragment,,,,4,1.41,1.41,,,
